mes año,dia hora,Consumo,General pozos,Pozo 3,Pozo 8,Pozo 15,Pozo 4,A y D,"Campus 8""",A7-CC,Megacentral,Planta Física,Residencias,Pozo7,Pozo11,Pozo 12,Pozo 14
junio 2022,Jue30 21:00,377,"68,647","225,601",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Lun04 21:00,"2,499","68,887","225,700",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,mar05 21:00,899,"68,972","225,749",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Mie06 09:00,431,"69,013","225,770",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Mie06 21:00,462,"69,057","225,792",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Jue07 21:00,796,"69,133","225,828",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Vie08 09:00,285,"69,160","225,843",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Lun11 09:00,"2,064","69,358","225,927",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,mar12 9:00,684,"69,423","225,961",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,mar12 21:00,457,"69,467","225,978",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Mie13 09:00,331,"69,499","225,989",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Mie13 21:00,389,"69,535","226,018",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Jue14 21:00,747,"69,607","226,045",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Vie15 09:00,339,"69,639","226,064",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Vier15 21:00,414,"69,679","226,078",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Lun18 09:00,"1,385","69,812","226,133",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,mar19 9:00,744,"69,884","226,157",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Mie20 09:00,617,"69,945","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Vie22 09:00,"1,480","70,093","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Vie22 21:00,430,"70,136","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Sab23 09:00,260,"70,162","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Lun25 09:00,"1,050","70,267","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Lun25 21:00,430,"70,310","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,mar26 9:00,250,"70,335","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,mar26 21:00,450,"70,380","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Mie27 09:00,250,"70,405","226,164","509,983.40","335,150.70",0,0,"4,380","751,982.03","1,029","7,191","37,875",0,0,0,0
julio 2022,Mie27 21:00,430,"70,448","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Jue28 09:00,370,"70,485","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Jue28 21:00,350,"70,520","226,164",0,0,0,0,0,0,0,0,0,0,0,0,0
julio 2022,Vie29 09:00,300,"70,550","226,164","509,983.40","335,150.70",0,0,"4,425","752,197.70","1,380","7,268","37,879",0,0,0,0
julio 2022,Vie29 21:00,560,"70,606","226,164",,,0,0,,,,,,0,0,0,0
julio 2022,Sab30 09:00,280,"70,634","226,164","509,983.40","335,150.70",0,0,"4,448","752,395.99","1,621","7,336","37,883",0,0,0,0
julio 2022,Dom31 09:00,770,"70,711","226,164","509,983.40","335,150.70",0,0,"4,475","752,519.95","1,831","7,366","37,885",0,0,0,0
ago 2022,Lun01 09:00,920,"70,803","226,164","509,983.40","335,150.70",0,0,"4,510","752,785.90","2,065","7,387","37,886",0,0,0,0
ago 2022,Lun01 21:00,490,"70,852","226,164",,,0,0,,,,,,0,0,0,0
ago 2022,mar02 9:00,360,"70,888","226,164","510,003.70","335,150.70",0,0,"4,536","752,929.45","2,338","7,429","37,888",0,0,0,0
